,Absorbance Spectrum,Absorbance Spectrum,,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum
Wavenumber cm-1,,,,,,,,,,,,,
,Lumilog_GaN_substrate 20degC,Lumilog_GaN_substrate_80degC,LUMILOG_GaN_substrate_-160degC,B120504_InGaN_20degC,B120504_InGaN_80degC,B120504_InGaN_20degC_Vak,B120504_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_20degC_Vak,J130828_10nm_M16_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_90degC,J140228_3nm_InGaN_20degC,J140228_3nm_InGaN_90degC,J140228_3nm_InGaN_-160degC
7981.046871,0.50956744,0.502560377,1.289436698,0.413821548,0.380765498,0.470459759,0.568263829,0.726240695,0.75678277,0.705915034,0.883369625,0.895893097,0.977251589
7980.56469,0.51897651,0.509839237,1.283231258,0.399779171,0.37670505,0.490877539,0.574327946,0.73054409,0.762795568,0.706431031,0.880147457,0.896882057,0.977215469
7980.08251,0.512542486,0.507306755,1.282812476,0.387311041,0.38383612,0.504065573,0.567314088,0.73454833,0.758168042,0.702292919,0.889117599,0.889589548,0.979393542
7979.60033,0.503245533,0.500213444,1.282446742,0.392066211,0.407633603,0.495460719,0.555452824,0.735087454,0.751177669,0.69905287,0.899396718,0.884290516,0.97174865
7979.11815,0.514514863,0.502501428,1.292201638,0.407955825,0.441914976,0.477021813,0.555973768,0.739316702,0.750498831,0.709076226,0.903415442,0.883957207,0.965233922
7978.63597,0.533678591,0.51683414,1.312448621,0.410586208,0.461030126,0.46757257,0.570250928,0.741131127,0.750414729,0.725628257,0.903852701,0.882012427,0.97370398
7978.153789,0.537753403,0.53113687,1.323572874,0.399805188,0.448151231,0.468422025,0.583818853,0.734506547,0.749665022,0.730907977,0.901453912,0.878942788,0.978533328
7977.671609,0.531003535,0.532524526,1.317728043,0.398570001,0.426868469,0.474222213,0.593335271,0.731663764,0.752885222,0.724831879,0.89425832,0.876821041,0.969391465
7977.189429,0.525268793,0.525900364,1.311997533,0.404922038,0.4185009,0.474407941,0.603317142,0.737207413,0.755991876,0.718904018,0.885721505,0.87503171,0.961375773
7976.707249,0.523698092,0.524147928,1.326130629,0.396599263,0.417075217,0.459948331,0.60318172,0.742206991,0.756605804,0.718408406,0.883855045,0.878323078,0.95485729
7976.225069,0.535807908,0.531546056,1.350277662,0.386470914,0.419677019,0.458588421,0.599530935,0.745428562,0.7581411,0.723513603,0.88944304,0.888943553,0.94927007
7975.742888,0.563250005,0.549549878,1.345949411,0.397453636,0.428890407,0.500303745,0.618595243,0.748733222,0.759843409,0.727143109,0.896318793,0.900044441,0.96182096
7975.260708,0.574379623,0.566339552,1.309518695,0.418449134,0.437153399,0.548809052,0.642209649,0.748417735,0.759267509,0.71957469,0.900844455,0.905379117,0.986885011
7974.778528,0.550041556,0.565684557,1.280934334,0.430732846,0.439700127,0.548847318,0.63242203,0.746082544,0.75600934,0.706166506,0.901700556,0.903260171,0.990016162
7974.296348,0.519836068,0.548453987,1.277350307,0.428950995,0.438269794,0.51320833,0.602531433,0.744964659,0.752571762,0.699337959,0.89800632,0.895652473,0.972674787
7973.814167,0.510400236,0.517462373,1.283086658,0.419548631,0.426208049,0.491892427,0.586688042,0.740751386,0.751362562,0.701587379,0.893791497,0.890346825,0.969881058
7973.331987,0.513990462,0.480380207,1.287492156,0.412110358,0.407908589,0.500531077,0.582521498,0.734979033,0.751368225,0.708745956,0.894524515,0.895642877,0.983371198
7972.849807,0.513532579,0.462705731,1.300714254,0.406358123,0.407243788,0.517462492,0.570316136,0.735275269,0.751208603,0.716451764,0.900696099,0.907430112,0.987412453
7972.367627,0.507774711,0.481488109,1.325738311,0.400873095,0.422297329,0.524765849,0.551540554,0.738283873,0.750337005,0.722860932,0.911390901,0.911208332,0.977558076
7971.885447,0.510427892,0.523504794,1.339921236,0.403653473,0.429717243,0.533992112,0.54635644,0.737717509,0.747763038,0.725408196,0.920353293,0.906307638,0.97022295
7971.403266,0.524476349,0.550020933,1.333448052,0.410542399,0.429755926,0.551927984,0.561112642,0.737802982,0.742978513,0.718150496,0.916347742,0.905461133,0.97002387
7970.921086,0.536480069,0.544100702,1.324676633,0.409999192,0.43012163,0.553597987,0.583176792,0.741335154,0.741715074,0.705984056,0.90386337,0.910157204,0.969568491
7970.438906,0.530012131,0.52663821,1.316211581,0.40426141,0.427277118,0.52918601,0.598288596,0.742973864,0.750849187,0.702439964,0.893357873,0.912944138,0.969271719
7969.956726,0.508194625,0.515296876,1.3148036,0.39452228,0.425384998,0.514081359,0.595689535,0.741493165,0.761495352,0.706424892,0.880015731,0.910505414,0.97210747
7969.474546,0.496229768,0.511034906,1.344971061,0.380880237,0.428424865,0.514163792,0.576191962,0.739779711,0.758518219,0.705444396,0.866226733,0.901242435,0.969653964
7968.992365,0.505698264,0.507653058,1.382277369,0.373981506,0.435097426,0.498984545,0.552994788,0.738886952,0.749192595,0.698996246,0.869793057,0.886856496,0.95455575
7968.510185,0.52814281,0.513629436,1.369683146,0.388824165,0.450071096,0.482106626,0.539949059,0.740430474,0.749417424,0.69556284,0.892166793,0.876054823,0.940959036
7968.028005,0.548209667,0.539157748,1.327741623,0.425556779,0.462944299,0.496231437,0.546181321,0.740526319,0.755398571,0.697837532,0.911634862,0.872794032,0.94703424
7967.545825,0.555290699,0.564804673,1.305984855,0.455339879,0.456303805,0.528565168,0.565739751,0.733667374,0.758173883,0.708167017,0.91302985,0.870931864,0.965034544
7967.063644,0.551041007,0.56693995,1.305525422,0.460024804,0.438487321,0.547069967,0.579746962,0.727402031,0.76093626,0.723745763,0.905721605,0.872254968,0.975132227
7966.581464,0.542137802,0.55000484,1.307806849,0.457052261,0.42753756,0.550231099,0.580039561,0.730021894,0.76671958,0.730668426,0.902200401,0.884072959,0.969953358
7966.099284,0.532769859,0.533332467,1.308887362,0.455813348,0.4292427,0.548359931,0.579390049,0.737218976,0.773368955,0.727097213,0.898513615,0.897756577,0.953815699
7965.617104,0.519723475,0.523225605,1.320863247,0.443363875,0.432487726,0.538862765,0.579979241,0.744309187,0.776257634,0.724192023,0.892591894,0.903173029,0.939536512
7965.134924,0.509520054,0.520402372,1.347541094,0.421999425,0.423910081,0.528722048,0.574448347,0.752533317,0.771845877,0.72425741,0.889526606,0.902312815,0.935054302
7964.652743,0.513747752,0.527046442,1.361256838,0.404722989,0.4045223,0.518893421,0.572580516,0.760258913,0.76539439,0.724746168,0.88535136,0.898692369,0.940106809
7964.170563,0.519209146,0.529477775,1.343786597,0.393099576,0.38699621,0.501806259,0.576622665,0.761891663,0.764081776,0.72408241,0.880768061,0.896226764,0.953333735
7963.688383,0.511592925,0.519149423,1.322394371,0.393063575,0.388689637,0.494241565,0.568997443,0.756126702,0.766700268,0.72074163,0.884061933,0.894438803,0.968655884
7963.206203,0.503623426,0.511566997,1.308261871,0.407094508,0.41401422,0.500905097,0.550321043,0.749556959,0.765986562,0.717383921,0.891994298,0.891211569,0.98098588
7962.724023,0.500784039,0.518764675,1.286159515,0.415489018,0.440830946,0.497059822,0.546365201,0.748251319,0.763144374,0.717433691,0.894123375,0.890213072,0.986137629
7962.241842,0.496020287,0.539397597,1.268462062,0.410471141,0.450649053,0.489716202,0.562499285,0.748695254,0.767167151,0.717544675,0.887138426,0.890024841,0.976823926
7961.759662,0.499885798,0.556985617,1.271968484,0.413136154,0.453799576,0.504450381,0.576935768,0.744146645,0.776117384,0.712214828,0.881454825,0.887969077,0.956645548
7961.277482,0.512843072,0.54959625,1.283624172,0.427138209,0.460256547,0.526678979,0.581441224,0.737189114,0.78254509,0.70616132,0.885350049,0.88702023,0.942890644
7960.795302,0.509085298,0.528569162,1.291579366,0.429918796,0.465777278,0.520805836,0.582139015,0.735688746,0.783477306,0.709266007,0.891032934,0.881520987,0.94838959
7960.313122,0.49094075,0.522514224,1.30297482,0.420251936,0.464569509,0.488465339,0.581366956,0.739519596,0.776606858,0.718626976,0.891547263,0.870018482,0.963557601
