Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1101.714,0.317198791,1.534185585,2.097296014,1.524387346,2.14479135,1.959679867,3.122784073,2.847765861,3.179626156,2.811378144
1103.748,0.317202804,1.529230284,2.044027011,1.510503313,2.12229043,1.957439156,3.404597188,2.822416996,3.166412235,2.845388601
1105.782,0.317497749,1.483484968,2.07634295,1.468018368,2.048266888,1.913062531,3.008949471,2.95045476,2.955244921,2.637859867
1107.816,0.317457932,1.48123498,2.038893741,1.463911189,2.069603036,1.903995725,3.084796429,2.978619215,3.110033732,2.665167747
1109.849,0.320686727,1.444114387,2.092899423,1.421613239,2.025825509,1.870998408,2.899830607,2.777719822,3.000467917,2.651409833
1111.881,0.322169544,1.446102227,2.007725819,1.424343077,2.114168122,1.915607114,4.873621672,2.854076663,4.015593747,2.997864981
1113.913,0.329521616,1.393906963,2.027332909,1.384732301,2.018087207,1.872895662,3.285283242,2.88976962,2.990944059,2.635795864
1115.945,0.331903973,1.402486585,1.989966665,1.39361058,2.04414905,1.893986404,3.651999091,3.413533756,3.547912504,2.719811407
1117.976,0.340372614,1.357718689,2.032456755,1.348009416,1.982166673,1.874754392,3.122227718,3.023482239,3.353595435,2.704292647
1120.006,0.342685578,1.356984722,2.010610271,1.348543782,2.021067908,1.915280208,3.372841734,2.997005035,nan,3.486494601
1122.036,0.353108385,1.314118225,1.990316957,1.319477523,1.993839181,1.897297624,3.473432309,2.893615814,nan,3.584439117
1124.066,0.356210987,1.323553215,1.929756174,1.325790994,1.981843021,1.884620001,3.209797187,3.224822718,4.996021378,3.165966979
1126.095,0.366654231,1.295347346,1.932788152,1.29828244,1.920299342,1.839235002,3.137266651,3.247031034,3.261719514,2.697284452
1128.123,0.368048248,1.2868774,1.880895317,1.288553196,1.912572873,1.83412698,3.245127749,3.127669117,3.88890825,2.72933384
1130.151,0.377050607,1.243734689,1.943228155,1.254608192,1.863053377,1.789764955,2.976061253,2.976783936,3.207118005,2.608953057
1132.179,0.378695656,1.243949626,1.892438252,1.249412108,1.915603516,1.822816308,3.412793555,3.196724866,nan,3.104913762
1134.206,0.386049199,1.215698671,1.921554385,1.21892738,1.876113203,1.798886307,3.109144309,3.290438507,4.531011365,2.915587412
1136.232,0.387768228,1.219283155,1.827389625,1.227563997,1.899335164,1.823807399,nan,3.802481079,nan,3.479372659
1138.258,0.392222024,1.187881754,1.836821434,1.197295334,1.804017591,1.77072123,3.039360143,3.127307598,3.238181009,2.695674233
1140.284,0.392514744,1.191222837,1.795408717,1.197615919,1.803121977,1.765424487,3.068459887,3.08336715,3.196305418,2.744978064
1142.308,0.392414164,1.154181102,1.823141249,1.156355232,1.754480011,1.741243065,3.004659937,2.856723837,3.134993706,2.65642721
1144.333,0.392055611,1.153277594,1.769695114,1.152657888,1.78322085,1.754854505,3.394461233,2.805096287,nan,2.917339978
